age,going_out,butterfinger,x100_grand_bar,anonymous_brown_globs_that_come_in_black_and_orange_wrappers,any_full_sized_candy_bar,black_jacks,bonkers_the_candy,bottle_caps,box_o_raisins,brach_products_not_including_candy_corn,bubble_gum,cadbury_creme_eggs,candy_corn,vials_of_pure_high_fructose_corn_syrup_for_main_lining_into_your_vein,candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,cash_or_other_forms_of_legal_tender,chiclets,caramellos,snickers,hersheys_dark_chocolate,dental_paraphenalia,dots,fuzzy_peaches,generic_brand_acetaminophen,glow_sticks,broken_glow_stick,goo_goo_clusters,good_n_plenty,gum_from_baseball_cards,gummy_bears_straight_up,creepy_religious_comics_chick_tracts,healthy_fruit,heath_bar,hersheys_kissables,hersheys_milk_chocolate,hugs_actual_physical_hugs,jolly_rancher_bad_flavor,jolly_ranchers_good_flavor,kale_smoothie,kinder_happy_hippo,kit_kat,hard_candy,lapel_pins,lemon_heads,licorice,licorice_not_black,lindt_truffle,lollipops,mars,mary_janes,maynards,milk_duds,laffy_taffy,minibags_of_chips,joy_joy_mit_iodine,reggie_jackson_bar,pixy_stix,nerds,nestle_crunch,nown_laters,pencils,milky_way,reese_s_peanut_butter_cups,tolberone_something_or_other,runts,junior_mints,senior_mints,mint_kisses,mint_juleps,mint_leaves,peanut_m_ms,regular_m_ms,mint_m_ms,ribbon_candy,rolos,skittles,smarties_american,smarties_commonwealth,chick_o_sticks_we_don_t_know_what_that_is,spotted_dick,starburst,swedish_fish,sweetums,those_odd_marshmallow_circus_peanut_things,three_musketeers,peterson_brand_sidewalk_chalk,peanut_butter_bars,peanut_butter_jars,trail_mix,twix,vicodin,white_bread,whole_wheat_anything,york_peppermint_patties,sea_salt_flavored_stuff,necco_wafers,year,country,gender
52,FALSE,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,NA,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,2015,NA,NA
50,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,2015,NA,NA
62,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,2015,NA,NA
58,TRUE,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,2015,NA,NA
32,FALSE,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,NA,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,NA,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,NA,2015,NA,NA
58,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA
66,FALSE,NA,NA,DESPAIR,JOY,NA,NA,NA,DESPAIR,NA,DESPAIR,JOY,NA,JOY,DESPAIR,JOY,NA,NA,NA,JOY,DESPAIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,DESPAIR,NA,DESPAIR,JOY,JOY,JOY,DESPAIR,NA,DESPAIR,NA,JOY,JOY,DESPAIR,NA,JOY,DESPAIR,JOY,NA,JOY,NA,NA,NA,NA,JOY,NA,NA,NA,JOY,JOY,NA,NA,NA,DESPAIR,JOY,JOY,NA,NA,NA,NA,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,NA,NA,NA,NA,NA,NA,NA,NA,DESPAIR,DESPAIR,JOY,JOY,NA,NA,NA,NA,NA,NA,2015,NA,NA
58,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,2015,NA,NA
43,FALSE,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,2015,NA,NA
44,FALSE,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,2015,NA,NA
42,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,2015,NA,NA
47,FALSE,JOY,DESPAIR,DESPAIR,JOY,NA,NA,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,NA,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,NA,NA,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,JOY,NA,DESPAIR,JOY,DESPAIR,JOY,NA,DESPAIR,NA,NA,NA,JOY,NA,DESPAIR,NA,NA,JOY,NA,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,NA,NA,NA,NA,NA,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,NA,NA,DESPAIR,JOY,NA,NA,JOY,JOY,NA,NA,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,2015,NA,NA
20,FALSE,JOY,JOY,JOY,JOY,NA,NA,DESPAIR,JOY,NA,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,NA,NA,NA,JOY,NA,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,NA,JOY,DESPAIR,NA,NA,NA,NA,DESPAIR,NA,NA,NA,DESPAIR,NA,JOY,NA,JOY,NA,NA,JOY,NA,DESPAIR,NA,NA,DESPAIR,NA,NA,NA,JOY,JOY,JOY,JOY,NA,JOY,NA,JOY,NA,NA,JOY,JOY,JOY,NA,JOY,NA,NA,NA,NA,NA,NA,DESPAIR,NA,NA,JOY,NA,NA,NA,NA,JOY,NA,NA,NA,JOY,JOY,DESPAIR,2015,NA,NA
44,FALSE,JOY,NA,DESPAIR,JOY,NA,NA,JOY,DESPAIR,NA,DESPAIR,JOY,JOY,NA,DESPAIR,NA,NA,JOY,NA,DESPAIR,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,DESPAIR,NA,NA,DESPAIR,JOY,DESPAIR,NA,NA,NA,NA,DESPAIR,NA,NA,DESPAIR,NA,NA,JOY,NA,JOY,DESPAIR,NA,NA,NA,JOY,NA,NA,JOY,JOY,NA,NA,NA,NA,JOY,NA,JOY,DESPAIR,JOY,NA,NA,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,NA,DESPAIR,DESPAIR,JOY,JOY,NA,NA,JOY,NA,JOY,JOY,NA,DESPAIR,NA,NA,NA,NA,DESPAIR,JOY,NA,NA,DESPAIR,DESPAIR,NA,NA,2015,NA,NA
29,FALSE,JOY,NA,DESPAIR,JOY,NA,NA,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,NA,NA,JOY,JOY,DESPAIR,JOY,NA,DESPAIR,DESPAIR,DESPAIR,NA,NA,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,NA,JOY,DESPAIR,NA,NA,DESPAIR,DESPAIR,JOY,JOY,JOY,NA,NA,NA,NA,DESPAIR,NA,NA,DESPAIR,NA,JOY,NA,DESPAIR,DESPAIR,JOY,NA,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,NA,NA,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,JOY,NA,JOY,JOY,NA,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,2015,NA,NA
43,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,2015,NA,NA
43,TRUE,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,2015,NA,NA
56,FALSE,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,2015,NA,NA
42,FALSE,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,2015,NA,NA
21,FALSE,JOY,JOY,DESPAIR,JOY,NA,NA,NA,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,NA,JOY,NA,JOY,JOY,JOY,DESPAIR,NA,NA,NA,JOY,JOY,JOY,NA,NA,NA,DESPAIR,NA,JOY,JOY,JOY,NA,DESPAIR,JOY,NA,NA,JOY,JOY,NA,JOY,JOY,JOY,JOY,NA,NA,NA,NA,JOY,NA,NA,NA,NA,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,NA,JOY,NA,NA,JOY,JOY,JOY,NA,NA,NA,JOY,NA,NA,NA,JOY,JOY,NA,DESPAIR,JOY,NA,NA,NA,NA,JOY,JOY,NA,NA,JOY,JOY,NA,2015,NA,NA
20,FALSE,NA,JOY,DESPAIR,JOY,NA,NA,DESPAIR,NA,JOY,JOY,JOY,JOY,NA,NA,JOY,NA,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,NA,DESPAIR,DESPAIR,NA,NA,NA,JOY,DESPAIR,JOY,JOY,NA,NA,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,NA,NA,NA,JOY,JOY,JOY,JOY,JOY,NA,DESPAIR,NA,JOY,NA,NA,NA,NA,DESPAIR,DESPAIR,NA,NA,NA,NA,DESPAIR,JOY,DESPAIR,JOY,NA,NA,JOY,JOY,NA,NA,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,NA,JOY,NA,JOY,NA,DESPAIR,NA,NA,DESPAIR,JOY,DESPAIR,NA,NA,JOY,JOY,JOY,JOY,DESPAIR,2015,NA,NA
43,FALSE,JOY,NA,DESPAIR,JOY,NA,NA,NA,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,NA,JOY,JOY,NA,DESPAIR,JOY,NA,NA,NA,NA,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,NA,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,NA,NA,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,NA,NA,JOY,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,JOY,JOY,NA,NA,NA,JOY,JOY,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,2015,NA,NA
43,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,NA,NA,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,NA,DESPAIR,DESPAIR,DESPAIR,NA,NA,DESPAIR,NA,NA,NA,DESPAIR,NA,JOY,NA,NA,NA,JOY,JOY,NA,DESPAIR,NA,JOY,JOY,NA,DESPAIR,DESPAIR,NA,JOY,JOY,JOY,DESPAIR,NA,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,DESPAIR,NA,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,NA,NA,NA,DESPAIR,DESPAIR,2015,NA,NA
58,FALSE,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,2015,NA,NA
37,FALSE,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,2015,NA,NA
